cml_id;isSublink;nRecords;nNAs;timeOfFirstAvailValue;timeOfLastAvailValue;band;frequency;polarisation;site_0_lon;site_0_lat ;site_1_lon;site_1_lat;length;id1;id2;isPairingUnique;nRecords
10004_14181_3124;TRUE;426045;43200;13.01.2021 14:05;26.05.2021 8:50;38;37369.5;vertical;14.419106;50.076538;14.419008;50.08058;450;10004_14181;3124;TRUE;NA
10004_14181_3124;TRUE;426045;43200;13.01.2021 14:05;26.05.2021 8:27;38;38629.5;vertical;14.419106;50.076538;14.419008;50.08058;450;10004_14181;3124;TRUE;NA
10004_14584_3125;TRUE;426044;26;13.01.2021 14:05;05.11.2021 10:48;38;37418.5;vertical;14.419106;50.076538;14.414586;50.081432;630;10004_14584;3125;TRUE;NA
10004_14584_3125;TRUE;426044;20;13.01.2021 14:05;05.11.2021 10:48;38;38678.5;vertical;14.419106;50.076538;14.414586;50.081432;630;10004_14584;3125;TRUE;NA
10004_15188_3126;TRUE;426044;24;13.01.2021 14:05;05.11.2021 10:48;38;38136;vertical;14.419106;50.076538;14.417472;50.07861;260;10004_15188;3126;TRUE;NA
10004_15188_3126;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;38;39396;vertical;14.419106;50.076538;14.417472;50.07861;260;10004_15188;3126;TRUE;NA
10004_301636_3127;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;38;37807;vertical;14.419106;50.076538;14.415662;50.081673;620;10004_301636;3127;TRUE;NA
10004_301636_3127;FALSE;426044;43200;NA;NA;38;39067;vertical;14.419106;50.076538;14.415662;50.081673;620;10004_301636;3127;TRUE;NA
10004_303630_3128;TRUE;426044;25;13.01.2021 14:05;05.11.2021 10:48;38;37765;vertical;14.419106;50.076538;14.421352;50.07863;280;10004_303630;3128;TRUE;NA
10004_303630_3128;TRUE;426044;8;13.01.2021 14:05;05.11.2021 10:48;38;39025;vertical;14.419106;50.076538;14.421352;50.07863;280;10004_303630;3128;TRUE;NA
10004_311866_3129;TRUE;426045;34;13.01.2021 14:05;05.11.2021 10:49;26;25088;vertical;14.419106;50.076538;14.399208;50.06802;1710;10004_311866;3129;TRUE;NA
10004_311866_3129;TRUE;426045;7;13.01.2021 14:05;05.11.2021 10:49;26;26096;vertical;14.419106;50.076538;14.399208;50.06802;1710;10004_311866;3129;TRUE;NA
10004_348357_3130;TRUE;426044;24;13.01.2021 14:05;05.11.2021 10:48;38;38164;vertical;14.419106;50.076538;14.421001;50.078568;260;10004_348357;3130;TRUE;NA
10004_348357_3130;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;38;39424;vertical;14.419106;50.076538;14.421001;50.078568;260;10004_348357;3130;TRUE;NA
10004_361530_3131;TRUE;426044;27;13.01.2021 14:05;05.11.2021 10:48;38;37779;vertical;14.419106;50.076538;14.414962;50.077633;320;10004_361530;3131;TRUE;NA
10004_361530_3131;TRUE;426044;16;13.01.2021 14:05;05.11.2021 10:48;38;39039;vertical;14.419106;50.076538;14.414962;50.077633;320;10004_361530;3131;TRUE;NA
10005_11069_3132;TRUE;426044;33;13.01.2021 14:05;05.11.2021 10:48;32;32564;vertical;14.42742;50.08931;14.425455;50.08738;260;10005_11069;3132;TRUE;NA
10005_11069_3132;TRUE;426044;14;13.01.2021 14:05;05.11.2021 10:48;32;33376;vertical;14.42742;50.08931;14.425455;50.08738;260;10005_11069;3132;TRUE;NA
10005_11127_3133;TRUE;426044;37;13.01.2021 14:05;05.11.2021 10:48;32;32466;vertical;14.42742;50.08931;14.419345;50.086266;670;10005_11127;3133;TRUE;NA
10005_11127_3133;TRUE;426044;17;13.01.2021 14:05;05.11.2021 10:48;32;33278;vertical;14.42742;50.08931;14.419345;50.086266;670;10005_11127;3133;TRUE;NA
10005_15185_3134;TRUE;426044;12;13.01.2021 14:05;05.11.2021 10:48;38;37779;vertical;14.422778;50.08553;14.42742;50.08931;540;10005_15185;3134;TRUE;NA
10005_15185_3134;TRUE;426044;43;13.01.2021 14:05;05.11.2021 10:48;38;39039;vertical;14.422778;50.08553;14.42742;50.08931;540;10005_15185;3134;TRUE;NA
10005_330947_3135;TRUE;426044;22;13.01.2021 14:05;05.11.2021 10:48;38;37807;vertical;14.439305;50.081112;14.42742;50.08931;1250;10005_330947;3135;TRUE;NA
10005_330947_3135;TRUE;426044;34;13.01.2021 14:05;05.11.2021 10:48;38;39067;vertical;14.439305;50.081112;14.42742;50.08931;1250;10005_330947;3135;TRUE;NA
10006_11004_3136;TRUE;426044;9;13.01.2021 14:05;05.11.2021 10:48;38;37884;vertical;14.403459;50.08797;14.405456;50.088768;170;10006_11004;3136;TRUE;NA
10006_11004_3136;TRUE;426044;16;13.01.2021 14:05;05.11.2021 10:48;38;39144;vertical;14.403459;50.08797;14.405456;50.088768;170;10006_11004;3136;TRUE;NA
10007_10353_2245;TRUE;313590;6;01.04.2021 16:19;05.11.2021 10:48;80;72250;vertical;14.442586;50.084534;14.439988;50.09333;1000;10007_10353;2245;TRUE;NA
10007_10353_2245;TRUE;313590;5;01.04.2021 16:19;05.11.2021 10:48;80;82250;vertical;14.442586;50.084534;14.439988;50.09333;1000;10007_10353;2245;TRUE;NA
10007_10473_3137;TRUE;426044;7;13.01.2021 14:05;05.11.2021 10:48;38;37467.5;vertical;14.448481;50.092686;14.439988;50.09333;610;10007_10473;3137;TRUE;NA
10007_10473_3137;TRUE;426044;19;13.01.2021 14:05;05.11.2021 10:48;38;38727.5;vertical;14.448481;50.092686;14.439988;50.09333;610;10007_10473;3137;TRUE;NA
10009_10799_3138;TRUE;426044;16;13.01.2021 14:05;05.11.2021 10:48;38;37884;vertical;14.37573;50.07988;14.391427;50.09269;1810;10009_10799;3138;TRUE;NA
10009_10799_3138;TRUE;426044;12;13.01.2021 14:05;05.11.2021 10:48;38;39144;vertical;14.37573;50.07988;14.391427;50.09269;1810;10009_10799;3138;TRUE;NA
10015_10220_3139;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;38;37821;vertical;14.419833;50.065777;14.418231;50.0696;440;10015_10220;3139;TRUE;NA
10015_10220_3139;TRUE;426044;38;13.01.2021 14:05;05.11.2021 10:48;38;39081;vertical;14.419833;50.065777;14.418231;50.0696;440;10015_10220;3139;TRUE;NA
10016_11075_3140;TRUE;426044;19;13.01.2021 14:05;05.11.2021 10:48;38;37849;vertical;14.424877;50.081085;14.425455;50.0821;120;10016_11075;3140;TRUE;NA
10016_11075_3140;TRUE;426044;4;13.01.2021 14:05;05.11.2021 10:48;38;39109;vertical;14.424877;50.081085;14.425455;50.0821;120;10016_11075;3140;TRUE;NA
10021_11150_3141;TRUE;426044;71;13.01.2021 14:05;05.11.2021 10:48;32;32494;vertical;14.422726;50.084053;14.41938;50.08353;250;10021_11150;3141;TRUE;NA
10021_11150_3141;TRUE;426044;57;13.01.2021 14:05;05.11.2021 10:48;32;33306;vertical;14.422726;50.084053;14.41938;50.08353;250;10021_11150;3141;TRUE;NA
10021_11568_3142;TRUE;426044;85;13.01.2021 14:05;05.11.2021 10:48;38;37236.5;vertical;14.422726;50.084053;14.420158;50.08564;260;10021_11568;3142;TRUE;NA
10021_11568_3142;TRUE;426044;43200;13.01.2021 14:05;18.05.2021 11:09;38;38496.5;vertical;14.422726;50.084053;14.420158;50.08564;260;10021_11568;3142;TRUE;NA
10025_11105_3143;TRUE;426044;39;13.01.2021 14:05;05.11.2021 10:48;26;25105.5;vertical;14.427477;50.09112;14.42985;50.090534;180;10025_11105;3143;TRUE;NA
10025_11105_3143;TRUE;426044;773;13.01.2021 14:05;05.11.2021 10:48;26;26113.5;vertical;14.427477;50.09112;14.42985;50.090534;180;10025_11105;3143;TRUE;NA
10025_15176_3144;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;38;37527;vertical;14.429889;50.090057;14.427477;50.09112;210;10025_15176;3144;TRUE;NA
10025_15176_3144;TRUE;426044;28;13.01.2021 14:05;05.11.2021 10:48;38;38787;vertical;14.429889;50.090057;14.427477;50.09112;210;10025_15176;3144;TRUE;NA
10025_319228_3145;TRUE;426044;25;13.01.2021 14:05;05.11.2021 10:48;38;38108;vertical;14.427477;50.09112;14.426898;50.090607;70;10025_319228;3145;TRUE;NA
10025_319228_3145;TRUE;426044;33;13.01.2021 14:05;05.11.2021 10:48;38;39368;vertical;14.427477;50.09112;14.426898;50.090607;70;10025_319228;3145;TRUE;NA
10026_11136_3146;TRUE;426044;11;13.01.2021 14:05;05.11.2021 10:48;32;32438;vertical;14.42008;50.088825;14.421008;50.090435;190;10026_11136;3146;TRUE;NA
10026_11136_3146;TRUE;426044;24;13.01.2021 14:05;05.11.2021 10:48;32;33250;vertical;14.42008;50.088825;14.421008;50.090435;190;10026_11136;3146;TRUE;NA
10026_307172_3147;TRUE;426044;18;13.01.2021 14:05;05.11.2021 10:48;38;37439.5;vertical;14.419866;50.08837;14.421008;50.090435;240;10026_307172;3147;TRUE;NA
10026_307172_3147;TRUE;426044;22;13.01.2021 14:05;05.11.2021 10:48;38;38699.5;vertical;14.419866;50.08837;14.421008;50.090435;240;10026_307172;3147;TRUE;NA
10030_11837_3148;TRUE;426045;61;13.01.2021 14:05;05.11.2021 10:49;38;37397.5;vertical;14.424256;50.085056;14.426765;50.08575;200;10030_11837;3148;TRUE;NA
10030_11837_3148;TRUE;426045;27;13.01.2021 14:05;05.11.2021 10:49;38;38657.5;vertical;14.424256;50.085056;14.426765;50.08575;200;10030_11837;3148;TRUE;NA
10032_10178_3149;TRUE;426044;11;14.01.2021 9:25;05.11.2021 10:48;38;37849;vertical;14.434155;50.07972;14.433183;50.0789;120;10032_10178;3149;TRUE;NA
